"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript JSX", "Log", "JavaScript", "MS SQL", "XML", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\andre\OneDrive\Desktop\my-first-app\.mcp.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\andre\OneDrive\Desktop\my-first-app\AGENTS.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\andre\OneDrive\Desktop\my-first-app\CLAUDE.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\andre\OneDrive\Desktop\my-first-app\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\ai\page.tsx", "TypeScript JSX", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 2, 28, 172
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\api\ai\assist\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 22, 133
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\api\ai\usage\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 10, 60
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\api\billing-portal\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 13, 64
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\api\billing\access\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 7, 28
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\api\billing\create-customer\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 9, 51
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\api\checkout\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\api\create-checkout-session\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 12, 85
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\api\start-pro-now\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 30, 203
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\api\stripe-webhook\route.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\api\webhooks\stripe\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 54, 287
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\auth\callback\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\auth\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 1, 23, 197
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\billing-actions.tsx", "TypeScript JSX", 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 39, 238
"c:\Users\andre\OneDrive\Desktop\my-first-app\app\forgot-password\forgot-password-form.tsx", "TypeScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 16, 106
